report_month,source_file,source_page,source_section,sl_no,project_name,agency,state,legacy_ocms_code,alternate_id,current_project_code,review_status,failure_type,raw_text_reference,notes
2025-07,FlashReport_July_2025.pdf,52,Table 6: All Ongoing Projects,401,"Punjab, (7392) Rajasthan) Gurdaspur Jammu Pipeline Multi-States",Gas Authority of India Limited [GAIL],,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p52; Table 6: All Ongoing Projects; sl_no=401,Validation extraction recovered source primary code 612853 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,52,Table 6: All Ongoing Projects,402,"(612853) Kashmir, Punjab) Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II Multi-States (Karnataka,",Ministry of Petroleum & Natural Gas,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p52; Table 6: All Ongoing Projects; sl_no=402,Validation extraction recovered source primary code 701228 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,52,Table 6: All Ongoing Projects,403,"Kerala, Tamil (5909) Nadu) City Gas Distribution Maharashtra Natural Gas Limited Multi-States",Ministry of Petroleum & Natural Gas,Karnataka,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p52; Table 6: All Ongoing Projects; sl_no=403,Validation extraction recovered source primary code 701338 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,52,Table 6: All Ongoing Projects,404,(701338) Maharashtra) Dhamra Haldia Pipeline Project Multi-States,Ministry of Petroleum & Natural Gas,Odisha,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p52; Table 6: All Ongoing Projects; sl_no=404,Validation extraction recovered source primary code 701344 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,52,Table 6: All Ongoing Projects,405,"(701344) Bengal) City Gas Distribution Projects at Fazilka [except area already authorized], Ganganagar Multi-States and Hanumangarh districts",Bharat Petroleum Corporation Limited [BPCL],Punjab,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p52; Table 6: All Ongoing Projects; sl_no=405,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,53,Table 6: All Ongoing Projects,433,AIIMS Kashmir at Awantipora Jammu & Kashmir Jammu and,Central Public Works Department [CPWD],,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_July_2025.pdf:p53; Table 6: All Ongoing Projects; sl_no=433,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-07,FlashReport_July_2025.pdf,53,Table 6: All Ongoing Projects,437,"Jal Marg Vikas Project Multi-States (Bihar, Jharkhand,",Inland Waterways Authority of India [IWAI],,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p53; Table 6: All Ongoing Projects; sl_no=437,Validation extraction recovered source primary code 701565 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,574,Marikuppam - Kuppam New Line Project [23.70 Km] Multi-States,South Western Railway [SWR] - II,Andhra Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=574,Validation extraction recovered source primary code 705491 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,575,(705491) Karnataka) Rayadurg-Tumkur via Kalyandurg New Line [207 km] Multi-States,South Western Railway [SWR] - II,Andhra Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=575,Validation extraction recovered source primary code 705494 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,576,"(705494) Karnataka) Renigunta, Wadi & Gooty Bypass Railway Project Multi-States",South Central Railway [SCR] - I,Andhra Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=576,Validation extraction recovered source primary code 705610 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,577,"(705610) Karnataka) Doubling between Mudkhed Medchal & Mahbubnagar Dhone section 417.88 Km Multi-States (Andhra Pradesh,",South Central Railway [SCR] - II,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=577,Validation extraction recovered source primary code 617212 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,578,"(617212) Maharashtra, (-) (4686.09) Telangana) Vizianagaram - Titlagarh 3rd line [272 Km including By - pass line of 7.68 KM] Multi-States",RVNL - II,Andhra Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=578,Validation extraction recovered source primary code 400253 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,579,(400253) Odisha) Doubling of Kottavalasa-Koraput Rail Line [189 KM] Multi-States,East Coast Railway [ECoR] - II,Andhra Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=579,Validation extraction recovered source primary code 705512 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,580,"(705512) Odisha) Malkangiri Pandurangapuram new railway line project Multi-States (Andhra Pradesh,",Indian Railways,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=580,Validation extraction recovered source primary code 616702 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,581,"(616702) Odisha, (-) (3591.76) Telangana) Tindivanam-Nagari New Line Project [184.5 km] Multi-States",Southern Railway [SR] - II,Andhra Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=581,Validation extraction recovered source primary code 400275 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,582,(400275) Tamil Nadu) Doubling between Motumari Vishnupuram - 88.81 Km and Rail over Rail - RoR at Multi-States Motumari - 10.877 Km,,Andhra Pradesh,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=582,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,583,Telangana) (616857) Doubling of Guntur Bibinagar 239 Km Multi-States,South Central Railway [SCR] - II,Andhra Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=583,Validation extraction recovered source primary code 617211 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,584,(617211) Telangana) Rail Connectivity to Errupalem Amravati Namburu 57 Km Multi-States,South Central Railway [SCR] - II,Andhra Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=584,Validation extraction recovered source primary code 617214 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,585,(617214) Telangana) Kazipet-Vijayawada 3rd line with electrification [220 km] Multi-States,South Central Railway [SCR] - II,Andhra Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=585,Validation extraction recovered source primary code 705612 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,586,(705612) Telangana) Vijayawada - Kazipet Byepass line Multi-States,South Central Railway [SCR] - II,Andhra Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=586,Validation extraction recovered source primary code 705632 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,587,(705632) Telangana) Murkongselek-Pasighat Multi-States,Northeast Frontier Railway [NFR],,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=587,Validation extraction recovered source primary code 705401 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,588,"(705401) Pradesh, Assam) Lumding Furkating Doubling Project 140 km Multi-States",Northeast Frontier Railway [NFR],Assam,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=588,Validation extraction recovered source primary code 616701 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,589,(616701) Nagaland) Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km] Multi-States,Northeast Frontier Railway [NFR],Assam,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=589,Validation extraction recovered source primary code 705392 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,590,"(705392) Nagaland) New Delhi- Howrah Speed Booster[160Kmph] Project Multi-States (Bihar, Delhi,",705794,Jharkhand,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=590,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,595,NER Provision of Automatic Block Signalling on Gorakhpur Cantt[Excl] Chhapra Multi-States Gramin & Burhwal Jn [Excl] Sitapur Jn section of high density routes,,Bihar,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=595,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,596,Pradesh) (611669) Gorakhpur-Valmikinagar Doubling project Multi-States,NER,Bihar,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=596,Validation extraction recovered source primary code 617224 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,58,Table 6: All Ongoing Projects,597,(617224) Pradesh) Chhapra-Ballia Patch Doubling Multi-States,North Eastern Railway [NER],Bihar,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p58; Table 6: All Ongoing Projects; sl_no=597,Validation extraction recovered source primary code 705562 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,59,Table 6: All Ongoing Projects,598,(705562) Pradesh) Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km] Multi-States,South East Central Railway [SECR] - II,Chhattisgarh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p59; Table 6: All Ongoing Projects; sl_no=598,Validation extraction recovered source primary code 705617 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,59,Table 6: All Ongoing Projects,599,(705617) Maharashtra) Jagdalpur-Koraput Multi-States,East Coast Railway [ECoR] - II,Chhattisgarh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p59; Table 6: All Ongoing Projects; sl_no=599,Validation extraction recovered source primary code 705511 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,59,Table 6: All Ongoing Projects,600,(705511) Odisha) Jharsuguda-Bilaspur Fourth Railway Line [206 km] Multi-States,SECR,Chhattisgarh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p59; Table 6: All Ongoing Projects; sl_no=600,Validation extraction recovered source primary code 705616 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,59,Table 6: All Ongoing Projects,601,(705616) Odisha) Mumbai-Ahmedabad High Speed Rail Project- 508 km Multi-States (Dadra & Nagar,705728,,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p59; Table 6: All Ongoing Projects; sl_no=601,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,59,Table 6: All Ongoing Projects,602,"& Diu, Gujarat, Maharashtra) New Delhi- Mumbai Speed Booster[160Kmph] Project Multi-States (Delhi, Gujarat, Madhya",705793,,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_July_2025.pdf:p59; Table 6: All Ongoing Projects; sl_no=602,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-07,FlashReport_July_2025.pdf,59,Table 6: All Ongoing Projects,603,"Maharashtra, Rajasthan) Hospet - Tinaighat - Vasco Rail Doubling Project Multi-States (Goa,",RVNL - II,,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_July_2025.pdf:p59; Table 6: All Ongoing Projects; sl_no=603,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-07,FlashReport_July_2025.pdf,59,Table 6: All Ongoing Projects,604,"Karnataka) (5060) (705650) Hospet-Hubli-Vasco da Gama Line Electrification Project Multi-States (Goa,",RVNL,,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p59; Table 6: All Ongoing Projects; sl_no=604,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,59,Table 6: All Ongoing Projects,605,"Karnataka) (1122.62) (706950) Western Dedicated Freight Corridor Multi-States (Gujarat, Haryana,",705237,Maharashtra,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p59; Table 6: All Ongoing Projects; sl_no=605,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,59,Table 6: All Ongoing Projects,606,"Rajasthan, Uttar Pradesh) New line Dahod-Indore via Sardarpur, Jabuwa and Dhar Multi-States",Western Railway [WR] - II,Gujarat,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p59; Table 6: All Ongoing Projects; sl_no=606,Validation extraction recovered source primary code 705453 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,59,Table 6: All Ongoing Projects,607,(705453) Pradesh) Chhota Udaipur - Dhar New Line Project [157 km] Multi-States,Western Railway [WR] - II,Gujarat,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p59; Table 6: All Ongoing Projects; sl_no=607,Validation extraction recovered source primary code 705454 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,59,Table 6: All Ongoing Projects,608,(705454) Pradesh) MUMBAI CENTRAL VIRAR VADODARA AHMEDABAAD TRAIN PROTECTION Multi-States SYSTEM 500 RKM,Western Railway,Gujarat,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p59; Table 6: All Ongoing Projects; sl_no=608,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
